%time,field.data
1619692684674989789,13
1619692689677743203,23
1619692699678178561,43
1619692705678230749,13
1619692710680746414,23
1619692720680760960,43
1619692726680892898,13
1619692731682666996,23
1619692741682922088,43
1619692748683227165,13
1619692753685151778,23
1619692763685327857,43
1619692771685891342,13
1619692776687532904,23
1619692786687768960,43
1619692792688016622,13
1619692797690029169,23
1619692807690252899,43
1619692813690656250,13
1619692818692778728,23
1619692828692834871,43
1619692834693317887,13
