%time,field.data
1622777647523138100,11
1622777652525774544,21
1622777678302572929,31
1622777684302900726,12
1622777689305024018,22
1622777711791300826,32
1622777718792002312,15
1622777723793998924,25
1622777736302839851,35
1622777743303379476,12
1622777748306540697,22
1622777763891427183,32
1622777769892459576,16
1622777774894325820,26
1622777802517124377,36
1622777809518527290,12
1622777814520791629,22
1622777846965786658,32
1622777853967173649,14
1622777858969026886,24
1622777895570189916,34
1622777901571663836,13
1622777906573250150,23
1622777933362040454,33
1622777939363161140,15
1622777944365061179,25
1622777956879998269,35
1622777962880505014,11
1622777967882654439,21
1622777983424568951,31
