%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1635932838963307428,0,1635932659177300305,map,0.012765523603,-0.00185758867047,0.0,0.0,0.0,8.56034512309e-05,0.999999996336,0.247065304157,0.0019165315976,0.0,0.0,0.0,0.0,0.0019165315976,0.246002731312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684890580915
1635932869702130232,1,1635932869635612305,map,0.13176862805,0.0685434821172,0.0,0.0,0.0,-0.00890913538406,0.999960312866,0.125458556739,0.00975569124776,0.0,0.0,0.0,0.0,0.00975569124776,0.239820419674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657439502536
1635932869902718408,2,1635932869835623305,map,0.139939203717,0.139159177158,0.0,0.0,0.0,-0.0201850211113,0.999796261707,0.0801628185474,0.0110619606179,0.0,0.0,0.0,0.0,0.0110619606179,0.238674121797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0552652510176
1635932870201004164,3,1635932870085704305,map,0.104592698498,0.170704597642,0.0,0.0,0.0,-0.0210551647304,0.999778315447,0.0575473740449,0.0162352868027,0.0,0.0,0.0,0.0,0.0162352868027,0.250599965835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435865476869
1635932870503985364,4,1635932870435747305,map,0.119133644235,0.263001394971,0.0,0.0,0.0,-0.02410965864,0.999709319933,0.0438956624522,0.0242846190246,0.0,0.0,0.0,0.0,0.0242846190246,0.272835950927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365246421344
1635932872497307298,5,1635932872386054305,map,0.133856249421,0.428610314498,0.0,0.0,0.0,-0.0238246359409,0.999716153077,0.0379402909185,0.0275151251095,0.0,0.0,0.0,0.0,0.0275151251095,0.286866894314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0317842579705
1635932872890342188,6,1635932872786113305,map,0.128771526682,0.482076270646,0.0,0.0,0.0,-0.0394259126685,0.999222496449,0.0346221649598,0.0324226673947,0.0,0.0,0.0,0.0,0.0324226673947,0.281138166372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0275826883787
1635932873392307587,7,1635932873286165305,map,0.106760698831,0.561110632365,0.0,0.0,0.0,-0.110222555815,0.993906931352,0.0329708392288,0.0346050760802,0.0,0.0,0.0,0.0,0.0346050760802,0.277153892235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262289338815
1635932874094266651,8,1635932874036301305,map,0.101094318375,0.597994303667,0.0,0.0,0.0,-0.212227394233,0.977220309417,0.0322820630863,0.0401573196879,0.0,0.0,0.0,0.0,0.0401573196879,0.263961750189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256249667109
1635932874794122934,9,1635932874736487305,map,0.0848014386061,0.661548332636,0.0,0.0,0.0,-0.321145107206,0.947029999587,0.0330318641364,0.0492953078481,0.0,0.0,0.0,0.0,0.0492953078481,0.253982364985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253340552225
1635932875495293889,10,1635932875436564305,map,0.0574139460967,0.625148690086,0.0,0.0,0.0,-0.414666145146,0.909973619436,0.0352805664537,0.0609748172064,0.0,0.0,0.0,0.0,0.0609748172064,0.253460157531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0271528031519
1635932876202885938,11,1635932876136725305,map,0.0188622083312,0.527848183852,0.0,0.0,0.0,-0.507038743563,0.861923263711,0.0387539087567,0.0702272817025,0.0,0.0,0.0,0.0,0.0702272817025,0.248142068264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274763069718
1635932876807842113,12,1635932876686832305,map,-0.0322490166019,0.484391524052,0.0,0.0,0.0,-0.575973407428,0.817468429932,0.0388747456671,0.0721349308097,0.0,0.0,0.0,0.0,0.0721349308097,0.224049927107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0290601438829
