[rospy.client][INFO] 2025-03-27 15:19:50,443: init_node, name[/sonar_processor_29673_1743063590431], pid[29673]
[xmlrpc][INFO] 2025-03-27 15:19:50,443: XML-RPC server binding to 127.0.0.1:0
[rospy.init][INFO] 2025-03-27 15:19:50,443: ROS Slave URI: [http://localhost:42015/]
[xmlrpc][INFO] 2025-03-27 15:19:50,443: Started XML-RPC server [http://localhost:42015/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:19:50,444: _ready: http://localhost:42015/
[rospy.registration][INFO] 2025-03-27 15:19:50,444: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:19:50,444: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:19:50,544: registered with master
[rospy.rosout][INFO] 2025-03-27 15:19:50,544: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:19:50,549: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 15:19:50,552: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 15:19:50,566: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 15:19:50,611: topic[/RosAria/sonar] adding connection to [http://localhost:40669/], count 0
[rosout][INFO] 2025-03-27 15:19:50,705: Back Left Min: 1.17, Back Right Min: 0.94
[rospy.internal][INFO] 2025-03-27 15:19:50,785: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 15:19:50,802: Back Left Min: 1.17, Back Right Min: 0.94
[rospy.internal][INFO] 2025-03-27 15:19:50,842: topic[/sonar_min] adding connection to [/rostopic_14070_1743062901856], count 0
[rosout][INFO] 2025-03-27 15:19:50,905: Back Left Min: 1.17, Back Right Min: 1.38
[rosout][INFO] 2025-03-27 15:19:51,002: Back Left Min: 0.89, Back Right Min: 1.38
[rosout][INFO] 2025-03-27 15:19:51,105: Back Left Min: 0.89, Back Right Min: 1.38
[rosout][INFO] 2025-03-27 15:19:51,202: Back Left Min: 0.89, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:51,304: Back Left Min: 0.91, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:51,401: Back Left Min: 0.91, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:51,504: Back Left Min: 0.91, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:51,601: Back Left Min: 0.91, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:51,704: Back Left Min: 0.91, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:51,801: Back Left Min: 0.92, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:51,905: Back Left Min: 0.92, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:52,002: Back Left Min: 0.92, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:52,105: Back Left Min: 0.92, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:52,201: Back Left Min: 0.92, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:19:52,305: Back Left Min: 0.92, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:52,402: Back Left Min: 0.92, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:52,505: Back Left Min: 0.92, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:52,602: Back Left Min: 0.92, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:52,705: Back Left Min: 0.91, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:52,802: Back Left Min: 0.91, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:52,905: Back Left Min: 0.92, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:53,002: Back Left Min: 0.92, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:53,105: Back Left Min: 0.92, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:53,202: Back Left Min: 0.92, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:53,305: Back Left Min: 0.92, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:19:53,402: Back Left Min: 0.92, Back Right Min: 0.81
