[rospy.client][INFO] 2025-03-27 15:25:18,689: init_node, name[/sonar_processor_5940_1743063918673], pid[5940]
[xmlrpc][INFO] 2025-03-27 15:25:18,689: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 15:25:18,689: Started XML-RPC server [http://localhost:42799/]
[rospy.init][INFO] 2025-03-27 15:25:18,689: ROS Slave URI: [http://localhost:42799/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:25:18,689: _ready: http://localhost:42799/
[rospy.registration][INFO] 2025-03-27 15:25:18,690: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:25:18,690: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:25:18,790: registered with master
[rospy.rosout][INFO] 2025-03-27 15:25:18,790: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:25:18,791: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 15:25:18,792: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 15:25:18,795: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 15:25:18,804: topic[/RosAria/sonar] adding connection to [http://localhost:40669/], count 0
[rosout][INFO] 2025-03-27 15:25:18,830: Back Left Min: 1.24, Back Right Min: 0.98
[rospy.internal][INFO] 2025-03-27 15:25:18,873: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-03-27 15:25:18,936: Back Left Min: 1.24, Back Right Min: 0.98
[rosout][INFO] 2025-03-27 15:25:19,039: Back Left Min: 1.24, Back Right Min: 0.98
[rospy.internal][INFO] 2025-03-27 15:25:19,061: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 15:25:19,137: Back Left Min: 1.24, Back Right Min: 0.98
[rosout][INFO] 2025-03-27 15:25:19,239: Back Left Min: 1.24, Back Right Min: 0.98
[rosout][INFO] 2025-03-27 15:25:19,336: Back Left Min: 1.24, Back Right Min: 0.98
[rosout][INFO] 2025-03-27 15:25:19,439: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:19,536: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:19,640: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:19,736: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:19,840: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:19,936: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:20,040: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:20,136: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:20,240: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:20,337: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:20,440: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:20,537: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:20,640: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:20,737: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:20,840: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:20,937: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:21,040: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:21,137: Back Left Min: 1.24, Back Right Min: 0.95
[rosout][INFO] 2025-03-27 15:25:21,240: Back Left Min: 1.24, Back Right Min: 0.95
[rosout][INFO] 2025-03-27 15:25:21,337: Back Left Min: 1.24, Back Right Min: 0.95
[rosout][INFO] 2025-03-27 15:25:21,440: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:21,537: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:21,640: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:21,737: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:21,840: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:21,937: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,040: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,137: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,241: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,337: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,441: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,537: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,641: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,738: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,841: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:22,938: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:23,041: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:23,138: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:23,241: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:23,338: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:23,441: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:23,538: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:23,641: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:23,738: Back Left Min: 1.24, Back Right Min: 0.96
