[rospy.client][INFO] 2025-04-03 14:15:47,671: init_node, name[/sonar_processor_7907_1743664547659], pid[7907]
[xmlrpc][INFO] 2025-04-03 14:15:47,672: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-03 14:15:47,672: Started XML-RPC server [http://localhost:36789/]
[rospy.impl.masterslave][INFO] 2025-04-03 14:15:47,672: _ready: http://localhost:36789/
[rospy.init][INFO] 2025-04-03 14:15:47,672: ROS Slave URI: [http://localhost:36789/]
[rospy.registration][INFO] 2025-04-03 14:15:47,672: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-03 14:15:47,672: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-03 14:15:47,772: registered with master
[rospy.rosout][INFO] 2025-04-03 14:15:47,772: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-03 14:15:47,773: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-03 14:15:47,774: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-03 14:15:47,777: Sonar processor initialized
[rospy.internal][INFO] 2025-04-03 14:15:47,787: topic[/RosAria/sonar] adding connection to [http://localhost:36621/], count 0
[rosout][INFO] 2025-04-03 14:15:47,877: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 14:15:47,973: Back Left Min: 0.00, Back Right Min: 0.00
[rospy.internal][INFO] 2025-04-03 14:15:48,020: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-03 14:15:48,076: Back Left Min: 1.23, Back Right Min: 0.71
[rosout][INFO] 2025-04-03 14:15:48,173: Back Left Min: 1.23, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:48,276: Back Left Min: 1.23, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:48,373: Back Left Min: 1.25, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:48,476: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:48,573: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:48,676: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:48,773: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:48,876: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:48,973: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:49,076: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:49,173: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:49,276: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:49,373: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:49,476: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:49,573: Back Left Min: 1.23, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:49,675: Back Left Min: 1.23, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:49,772: Back Left Min: 1.24, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:49,876: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:49,973: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,075: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,173: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,276: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,373: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,476: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,573: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,676: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,773: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,876: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:50,972: Back Left Min: 1.23, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:51,075: Back Left Min: 1.23, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:51,172: Back Left Min: 1.22, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:51,276: Back Left Min: 1.22, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:51,372: Back Left Min: 1.22, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:51,476: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:51,573: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:51,676: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:51,773: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:51,876: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:51,973: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:52,076: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:52,173: Back Left Min: 1.23, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:52,276: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:52,373: Back Left Min: 1.25, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:52,476: Back Left Min: 1.25, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:52,573: Back Left Min: 1.24, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:15:52,676: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:52,773: Back Left Min: 1.24, Back Right Min: 0.61
[rospy.internal][INFO] 2025-04-03 14:15:52,870: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-04-03 14:15:52,877: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:52,973: Back Left Min: 1.25, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:53,076: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:53,173: Back Left Min: 1.24, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:15:53,276: Back Left Min: 1.24, Back Right Min: 0.61
