[rospy.client][INFO] 2025-04-11 13:53:12,720: init_node, name[/sonar_processor_9969_1744354392704], pid[9969]
[xmlrpc][INFO] 2025-04-11 13:53:12,720: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-11 13:53:12,721: Started XML-RPC server [http://localhost:42383/]
[rospy.init][INFO] 2025-04-11 13:53:12,721: ROS Slave URI: [http://localhost:42383/]
[rospy.impl.masterslave][INFO] 2025-04-11 13:53:12,721: _ready: http://localhost:42383/
[xmlrpc][INFO] 2025-04-11 13:53:12,721: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2025-04-11 13:53:12,722: Registering with master node http://localhost:11311
[rospy.init][INFO] 2025-04-11 13:53:12,821: registered with master
[rospy.rosout][INFO] 2025-04-11 13:53:12,821: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-11 13:53:12,823: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-11 13:53:12,824: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-11 13:53:12,827: Sonar processor initialized
[rospy.internal][INFO] 2025-04-11 13:53:12,836: topic[/RosAria/sonar] adding connection to [http://localhost:35503/], count 0
[rosout][INFO] 2025-04-11 13:53:12,876: Back Left Min: 0.00, Back Right Min: 0.00
[rospy.internal][INFO] 2025-04-11 13:53:12,925: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-04-11 13:53:12,984: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-11 13:53:13,081: Back Left Min: 0.00, Back Right Min: 0.00
[rospy.internal][INFO] 2025-04-11 13:53:13,107: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-11 13:53:13,185: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:13,281: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:13,385: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:13,482: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:13,585: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:13,682: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:13,785: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:13,882: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:13,985: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,082: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,185: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,282: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,385: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,482: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,585: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,682: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,785: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,882: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:14,985: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:15,082: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:15,185: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:15,282: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:15,385: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:15,483: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:15,586: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:15,683: Back Left Min: 0.93, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:53:15,786: Back Left Min: 0.93, Back Right Min: 0.69
